# SIMULATION OUTPUT
# i, j, thmin, thmax, f_bal, mean, std_dev, ks_p_value
16 0 10.0000 90.0000 9.8569e-01 9.8894e+01 1.5683e+03 7.9550e-03
16 1 10.0000 85.0000 9.8325e-01 3.6974e+01 4.9477e+01 9.3443e-04
16 2 10.0000 80.0000 9.8122e-01 2.6101e+01 3.7682e+01 1.6501e-02
16 3 10.0000 75.0000 9.8021e-01 2.5163e+01 2.8015e+01 1.0881e-02
16 4 10.0000 70.0000 9.7705e-01 2.0655e+01 2.5654e+01 2.6340e-02
16 5 10.0000 65.0000 9.7306e-01 2.1207e+01 1.9845e+01 1.4680e-02
16 6 10.0000 60.0000 9.6936e-01 1.8950e+01 1.8262e+01 7.0521e-02
16 7 10.0000 55.0000 9.6745e-01 1.7339e+01 1.6797e+01 1.4152e-01
16 8 10.0000 50.0000 9.5505e-01 1.6832e+01 1.7254e+01 8.7770e-02
16 9 10.0000 45.0000 9.4516e-01 1.5343e+01 1.8783e+01 1.1954e-02
16 10 10.0000 40.0000 9.3532e-01 1.6086e+01 1.6422e+01 8.0186e-02
16 11 10.0000 35.0000 9.1839e-01 1.4954e+01 1.4402e+01 3.5130e-02
16 12 10.0000 30.0000 8.8471e-01 1.3824e+01 1.2988e+01 1.4256e-02
16 13 10.0000 25.0000 8.3923e-01 1.4037e+01 1.3732e+01 1.8863e-02
16 14 10.0000 20.0000 7.4611e-01 1.2823e+01 1.6131e+01 9.0556e-03
16 15 10.0000 15.0000 5.5911e-01 1.3057e+01 1.2546e+01 1.0079e-02
16 16 10.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
16 17 10.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
17 0 5.0000 90.0000 9.9678e-01 1.4018e+03 1.5908e+05 2.0735e-04
17 1 5.0000 85.0000 9.9571e-01 4.0047e+01 5.5880e+01 4.6334e-04
17 2 5.0000 80.0000 9.9779e-01 2.9589e+01 3.1365e+01 8.4968e-04
17 3 5.0000 75.0000 9.9630e-01 2.4190e+01 3.5437e+01 5.0609e-03
17 4 5.0000 70.0000 9.9487e-01 2.2881e+01 2.4030e+01 1.7290e-02
17 5 5.0000 65.0000 9.9308e-01 1.8869e+01 1.9479e+01 1.1145e-01
17 6 5.0000 60.0000 9.9243e-01 1.3596e+01 2.7978e+01 2.1247e-05
17 7 5.0000 55.0000 9.9100e-01 1.7464e+01 1.7327e+01 1.2114e-01
17 8 5.0000 50.0000 9.8897e-01 1.5963e+01 1.9485e+01 1.7032e-02
17 9 5.0000 45.0000 9.8802e-01 1.5729e+01 1.9634e+01 9.3706e-03
17 10 5.0000 40.0000 9.8379e-01 1.2742e+01 1.5953e+01 1.0177e-02
17 11 5.0000 35.0000 9.7711e-01 1.5434e+01 1.6431e+01 5.0935e-02
17 12 5.0000 30.0000 9.7109e-01 1.4139e+01 1.4289e+01 2.6326e-02
17 13 5.0000 25.0000 9.5845e-01 1.3722e+01 1.5181e+01 2.9212e-02
17 14 5.0000 20.0000 9.3925e-01 1.3648e+01 1.3531e+01 1.7417e-02
17 15 5.0000 15.0000 8.8894e-01 1.3129e+01 1.5076e+01 1.9887e-02
17 16 5.0000 10.0000 7.4778e-01 1.2688e+01 1.3573e+01 1.3866e-02
17 17 5.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
